"pair","synergy","class"
"747973:747974",-5.7803259,0.0
"755:760766",-4.2106926,0.0
"733504:141540",-0.3605056,0.0
"762:13875",-6.7530593,0.0
"732517:45388",-3.6667420,0.0
"362856:122819",+0.6833467,0.0
"747974:749226",+1.5520175,1.0
"141540:755986",-2.4707684,0.0
"1390:713563",-0.8678407,0.0
"740:141540",-4.4984350,0.0
"712807:141540",+1.5835725,1.0
"118218:756645",-5.0121278,0.0
"362856:757441",-8.3093729,0.0
"686673:169780",+2.4547352,1.0
"3053:757441",-5.7369833,0.0
"719276:122819",+2.4304833,1.0
"26271:169780",-2.2437815,0.0
"608210:737754",+2.5778983,1.0
"757441:755986",+2.2739185,1.0
"138783:763371",-3.9794426,0.0
"719627:737754",+1.5469648,0.0
"628503:122819",-2.1292183,0.0
"718781:34462",+3.9205926,1.0
"226080:279836",+2.4796426,1.0
"24559:122819",+3.6289889,1.0
"763371:756645",-2.4343870,0.0
"6396:737754",-6.9562963,0.0
"122758:169780",-1.1566167,0.0
"296961:752",-2.5689278,0.0
"719627:752",-1.4662072,0.0
"628503:8806",-0.3706426,0.0
"750690:3088",-5.8560151,0.0
"756645:698037",-3.4803333,0.0
"740:760766",-4.7105574,0.0
"246131:755986",+0.4107611,0.0
"719276:761432",+11.1518945,1.0
"77213:79037",+1.1841741,0.0
"79037:698037",-7.9277471,0.0
"750690:279836",+3.1160847,1.0
"701852:3088",+0.3364907,0.0
"701852:747972",-1.9844500,0.0
"85998:715055",-0.0151333,0.0
"34462:169780",-4.7694037,0.0
"66847:757441",-0.6871043,0.0
"712807:8806",-3.4315148,0.0
"762:747974",-6.4615315,0.0
"754143:756645",+1.8781333,1.0
"241240:8806",-3.4947778,0.0
"18509:749226",-1.8649556,0.0
"606869:13875",-4.3469796,0.0
"109724:749226",-3.8007963,0.0
"13875:761432",+5.8870747,1.0
"609699:757441",-3.4344444,0.0
"750:79037",-1.8794111,0.0
"118218:757441",-4.4643593,0.0
"681239:79037",+0.6125907,0.0
"702294:749226",-3.1440593,0.0
"613327:3088",-4.8397889,0.0
"38721:279836",+0.6355870,0.0
"747971:756645",-4.9005778,0.0
"241240:715055",+0.3793296,0.0
"79037:755986",-2.7619962,0.0
"681239:749226",-2.9598142,0.0
"141540:749226",-1.7445913,0.0
"702294:763371",-6.5068117,0.0
"712807:169780",+0.7887333,0.0
"362856:279836",+1.2985594,1.0
"122819:737754",-1.8909661,0.0
"85998:737754",-7.1053259,0.0
"606869:698037",-3.7595798,0.0
"32065:757441",-2.7306852,0.0
"18509:71423",-4.1245315,0.0
"109724:713563",+3.4122938,1.0
"26271:749226",-4.8126796,0.0
"755986:756645",-3.0574833,0.0
"102816:19893",-0.6716628,0.0
"762:713563",-0.8270037,0.0
"34462:755986",-3.6752854,0.0
"754230:34462",-5.0652701,0.0
"719276:169780",+0.2184037,0.0
"49842:82151",-0.6060214,0.0
"66847:749226",-1.1196356,0.0
"721517:747974",-2.2593537,0.0
"681239:715055",-2.4542167,0.0
"45923:608210",-0.3619096,0.0
"721517:747972",-4.9565296,0.0
"63878:45388",-3.4702693,0.0
"732517:713563",-0.7661055,0.0
"45923:755986",-2.2546759,0.0
"180973:3088",-4.9016037,0.0
"296961:755986",-5.8698019,0.0
"754143:713563",+6.2630885,1.0
"38721:34462",-3.3070759,0.0
"755986:749226",-1.2267213,0.0
"122758:737754",-1.8243444,0.0
"763371:761432",+5.9183509,1.0
"681239:279836",-0.9058593,0.0
"747971:141540",-2.2173239,0.0
"608210:757441",+0.2094093,0.0
"67574:19893",-0.2195593,0.0
"18509:737754",-4.2687259,0.0
"85998:608210",-0.8203992,0.0
"752:760766",-1.7428167,0.0
"66847:141540",-1.1450426,0.0
"26271:747972",-2.9045444,0.0
"26271:747974",-6.4937833,0.0
"226080:122819",+0.1399852,0.0
"8806:698037",-5.9962259,0.0
"180973:715055",+1.8067514,1.0
"18509:747972",-2.6702759,0.0
"18509:747974",-3.2509849,0.0
"743414:71423",-5.0743593,0.0
"18509:122819",-2.0616333,0.0
"613327:763371",-6.3929019,0.0
"752:755986",-1.2892994,0.0
"8806:71423",-1.8812296,0.0
"719627:8806",-2.3872630,0.0
"719345:13875",-6.2266167,0.0
"740:752",-5.1752704,0.0
"750:760766",-4.5280130,0.0
"32065:79037",-2.6552426,0.0
"628503:608210",+1.7531500,1.0
"763371:747974",-3.9280833,0.0
"1390:698037",-2.0951852,0.0
"105014:749226",-4.7346630,0.0
"125066:71423",-2.7541864,0.0
"109724:752",-2.5432796,0.0
"296961:8806",-0.6785687,0.0
"686673:749226",-4.2232593,0.0
"719276:757441",-1.7524130,0.0
"3053:71423",+6.7091636,1.0
"747971:279836",+4.0933879,1.0
"180973:169780",-2.6609718,0.0
"296961:760766",-2.8925759,0.0
"740:747974",-3.4660222,0.0
"241240:122819",-0.0501204,0.0
"279836:698037",-2.2827833,0.0
"740:747972",-0.4801852,0.0
"750690:169780",+0.0228230,0.0
"226080:761432",+5.3915741,1.0
"737754:763371",+1.2284852,0.0
"762:698037",-2.5821796,0.0
"45923:756645",-2.1578833,0.0
"712807:715055",+2.2312222,1.0
"747973:756645",-2.9809722,0.0
"752:698037",-4.3891507,0.0
"105014:715055",+1.7187981,1.0
"127716:169780",-0.6665074,0.0
"750690:713563",-1.8623842,0.0
"241240:79037",-1.4431611,0.0
"756645:747972",-3.5242467,0.0
"241240:749226",+0.6355963,0.0
"712807:13875",-6.9231167,0.0
"750690:752",-2.6607130,0.0
"19893:169780",-3.2140546,0.0
"27640:279836",-4.9547290,0.0
"105014:279836",+1.1409296,0.0
"1390:8806",-3.9388167,0.0
"180973:34462",-2.2670463,0.0
"754143:13875",-3.8338370,0.0
"122758:122819",+3.4116111,1.0
"756645:755986",-3.0392166,0.0
"14229:169780",-0.9713258,0.0
"125973:279836",+0.1335556,0.0
"745750:749226",-4.9388558,0.0
"92859:13875",-6.5530188,0.0
"26980:608210",-3.0372957,0.0
"750:737754",-7.3392919,0.0
"721517:715055",-7.2287137,0.0
"750:82151",+2.5187556,1.0
"13875:19893",-1.5130778,0.0
"747973:122819",-2.1715441,0.0
"752:608210",-0.0200907,0.0
"218321:763371",-2.9156222,0.0
"26271:752",-2.8633222,0.0
"67574:747974",+2.9443222,1.0
"719345:757441",-2.3092019,0.0
"26271:756645",-5.6846000,0.0
"169780:756645",-2.9356574,0.0
"77213:755986",-9.3939153,0.0
"226080:169780",-1.0497741,0.0
"747971:122819",-0.8119379,0.0
"85998:19893",-1.2100963,0.0
"719345:749226",-1.4792580,0.0
"141540:698037",-2.5343889,0.0
"628503:747974",+2.5086148,1.0
"628503:747972",-1.8171333,0.0
"32065:747972",-2.9329056,0.0
"241240:279836",-1.1542796,0.0
"32065:747974",-3.6347352,0.0
"747973:737754",-9.1535963,0.0
"125066:715055",+1.5094124,1.0
"673596:747972",-2.4457874,0.0
"127716:757441",-2.5620815,0.0
"102816:279836",+5.1776685,1.0
"49842:715055",+8.6661926,1.0
"743414:169780",-1.0725330,0.0
"109724:45388",-4.6784926,0.0
"762:756645",-7.6521770,0.0
"67574:34462",+8.4820670,1.0
"102816:122819",+3.5268945,1.0
"613327:19893",-1.5619736,0.0
"752:122819",-3.7692481,0.0
"754230:756645",-3.9162315,0.0
"63878:279836",-1.5018944,0.0
"14229:3088",-6.1276497,0.0
"719344:8806",-3.6197037,0.0
"92859:3088",-8.8380222,0.0
"673596:749226",+1.4349870,1.0
"24559:141540",+3.5694167,1.0
"63878:79037",-2.2665926,0.0
"750:279836",-1.1608796,0.0
"45388:763371",-6.3865725,0.0
"673596:34462",-2.0418985,0.0
"218321:79037",-2.5455167,0.0
"67574:760766",+0.1291778,0.0
"67574:715055",+12.5357481,1.0
"721517:761432",-7.3891988,0.0
"82151:760766",+1.9499718,1.0
"226080:757441",-2.6264593,0.0
"719276:737754",-2.7408444,0.0
"732517:752",-1.3427043,0.0
"763371:737754",-0.9208741,0.0
"719276:608210",+5.2786833,1.0
"296961:756645",-5.0456389,0.0
"92859:122819",-30.6631345,0.0
"752:713563",-0.5147926,0.0
"49842:122819",-0.6759454,0.0
"18509:82151",-2.3135759,0.0
"24559:13875",-4.0529492,0.0
"713563:747972",-3.8628192,0.0
"63878:747972",-2.3427074,0.0
"63878:747974",-1.9257852,0.0
"1390:82151",+0.9931444,0.0
"755:752",-2.6224796,0.0
"125973:757441",+1.7915000,1.0
"122758:13875",-5.6754981,0.0
"246131:45388",-2.9342088,0.0
"747972:760766",-1.3830148,0.0
"362856:756645",-7.4572815,0.0
"218321:82151",-4.9088391,0.0
"1390:79037",-2.0200074,0.0
"752:757441",-1.5055537,0.0
"218321:169780",-0.8001000,0.0
"713563:761432",+3.1068774,1.0
"3053:279836",-0.2127722,0.0
"77213:763371",-1.7694815,0.0
"26271:8806",-4.6062333,0.0
"226080:3088",-1.2996648,0.0
"762:760766",-6.7559350,0.0
"122758:747972",-3.1010685,0.0
"38721:141540",-2.8587926,0.0
"681239:737754",-3.6696403,0.0
"122758:747974",-6.5165876,0.0
"721517:141540",-27.5000981,0.0
"125973:698037",-0.7571056,0.0
"169780:747972",-1.3169944,0.0
"3053:82151",-0.8780603,0.0
"3088:82151",-4.7769303,0.0
"246131:763371",-2.2687796,0.0
"752:279836",-3.7916204,0.0
"762:3088",-4.8995093,0.0
"409962:737754",-3.8504352,0.0
"701852:45388",-4.7292204,0.0
"613327:141540",-3.2925241,0.0
"125973:34462",+0.5144349,0.0
"745750:755986",-3.5112279,0.0
"698037:760766",-1.8799519,0.0
"754230:747974",-4.4647037,0.0
"732517:19893",+0.1113691,0.0
"755:122819",-1.2096981,0.0
"743414:8806",-4.3441762,0.0
"102816:755986",-1.2241481,0.0
"45388:608210",-5.0105130,0.0
"66847:755986",+0.4843074,0.0
"246131:79037",-2.1767833,0.0
"141540:169780",+0.8768757,0.0
"27640:71423",-5.7184833,0.0
"362856:698037",-0.9413908,0.0
"362856:71423",-4.7293391,0.0
"125066:141540",+0.2229849,0.0
"226080:79037",-6.3194741,0.0
"38721:755986",-0.7684759,0.0
"719276:698037",-1.6353537,0.0
"698037:756645",-1.6513926,0.0
"369100:715055",+0.2924519,0.0
"686673:8806",-1.5665130,0.0
"750690:756645",-3.6963574,0.0
"733504:8806",-1.4410000,0.0
"71423:713563",-8.8771726,0.0
"609699:763371",-4.6739926,0.0
"122819:757441",-3.0915907,0.0
"6396:756645",-5.1446093,0.0
"66847:34462",-1.3603259,0.0
"138783:141540",-1.3884870,0.0
"102816:82151",+0.8785111,0.0
"747599:3088",-5.0778267,0.0
"747973:747972",-2.7215667,0.0
"754143:763371",-0.5598241,0.0
"701852:122819",+7.2616365,1.0
"66847:715055",-2.5725370,0.0
"747972:756645",-0.6985307,0.0
"755:82151",+0.3298204,0.0
"6396:79037",-3.4490426,0.0
"26980:8806",-3.1239130,0.0
"109724:755986",-3.3011667,0.0
"169780:755986",-4.3872741,0.0
"719276:715055",+2.2687870,1.0
"105014:737754",-3.9535611,0.0
"756645:737754",-2.3159074,0.0
"606869:763371",-1.9794389,0.0
"79037:608210",-5.7787233,0.0
"118218:45388",-4.5999019,0.0
"719345:698037",-1.5460944,0.0
"226080:608210",+4.0842722,1.0
"747971:8806",-4.2853653,0.0
"701852:169780",+1.6307315,1.0
"756645:747974",-5.9190056,0.0
"743414:3088",-5.1605278,0.0
"45923:3088",-6.1111481,0.0
"760766:756645",-0.2758556,0.0
"8806:82151",-4.5413407,0.0
"13875:757441",-7.6211444,0.0
"127716:737754",-3.8855444,0.0
"19893:760766",+0.9143000,1.0
"67574:169780",+0.3203204,0.0
"169780:760766",-0.3935944,0.0
"241240:737754",-0.2181944,0.0
"18509:34462",-2.8952667,0.0
"127716:8806",-2.7179907,0.0
"180973:737754",-1.4140268,0.0
"122819:749226",-0.5107241,0.0
"25154:122819",+1.7752222,1.0
"296961:713563",-36.0740339,0.0
"71423:169780",-2.2306741,0.0
"127716:79037",-0.4369722,0.0
"747972:763371",-3.9907722,0.0
"754230:763371",-5.3201593,0.0
"409962:19893",-0.6621593,0.0
"296961:82151",+0.5812202,0.0
"681239:760766",-3.3225819,0.0
"45388:747972",-3.6136741,0.0
"3053:45388",-5.5326370,0.0
"6396:761432",-2.3796478,0.0
"755986:760766",-1.1087130,0.0
"45388:747974",-6.4402019,0.0
"246131:3088",-4.7256370,0.0
"681239:3088",-3.4379667,0.0
"27640:608210",-2.2015870,0.0
"296961:79037",-12.1299611,0.0
"1390:279836",+1.9512963,1.0
"66847:279836",+0.9733704,0.0
"25154:749226",-2.4596130,0.0
"49842:608210",+3.6766870,1.0
"750:756645",-6.8627537,0.0
"721517:8806",-9.8650444,0.0
"721517:34462",-21.8781648,0.0
"718781:756645",-0.0203722,0.0
"754230:752",-2.2623481,0.0
"3053:749226",+1.1720753,0.0
"740:755986",-2.4226519,0.0
"369100:737754",-5.3639907,0.0
"63878:34462",-4.3579704,0.0
"118218:122819",+1.3239000,1.0
"719344:747972",-2.9444722,0.0
"719344:715055",+1.1921000,1.0
"743414:756645",-5.5755759,0.0
"701852:763371",-6.0044370,0.0
"747971:698037",-2.7373519,0.0
"745750:763371",-6.3918463,0.0
"226080:698037",-2.8730759,0.0
"218321:737754",-1.7786685,0.0
"34462:763371",-4.2542833,0.0
"25154:715055",+4.0574420,1.0
"122758:45388",-2.4046278,0.0
"747599:141540",-1.8051846,0.0
"673596:713563",+4.3162950,1.0
"8806:713563",-3.7742316,0.0
"752:763371",-3.5491389,0.0
"760766:737754",+0.2403130,0.0
"606869:608210",-2.1954854,0.0
"628503:755986",+8.6534093,1.0
"105014:3088",-4.0481296,0.0
"25154:279836",+1.6739222,1.0
"3088:757441",-4.4043370,0.0
"686673:19893",-0.1942093,0.0
"754143:3088",+1.9131833,1.0
"125973:755986",+3.3473427,1.0
"241240:141540",-0.8828148,0.0
"14229:45388",-5.8637074,0.0
"747599:763371",-5.2069492,0.0
"226080:715055",+3.6684593,1.0
"105014:760766",-4.3224944,0.0
"613327:82151",-2.3719416,0.0
"761431:755986",-1.4008185,0.0
"719344:747974",-3.6414148,0.0
"67574:737754",+5.8442537,1.0
"180973:747972",-2.3596796,0.0
"180973:747974",-4.1742019,0.0
"718781:713563",+6.9046981,1.0
"82151:756645",+1.0936930,0.0
"125066:749226",-2.0422167,0.0
"180973:71423",-5.1475148,0.0
"85998:122819",+3.4678463,1.0
"109724:698037",-1.0993815,0.0
"409962:13875",-5.1194111,0.0
"369100:34462",+0.2529130,0.0
"733504:749226",-1.7527611,0.0
"226080:13875",-3.2200130,0.0
"628503:79037",+1.4390169,1.0
"409962:757441",-4.1045913,0.0
"755:279836",-0.4042537,0.0
"712807:755986",-2.2999926,0.0
"609699:752",-3.5907296,0.0
"66847:19893",+0.9550093,1.0
"673596:608210",-3.4362626,0.0
"750:8806",+1.2077741,0.0
"750:752",-4.2652315,0.0
"18509:763371",-4.5047000,0.0
"719627:122819",+4.7370574,1.0
"743414:122819",+1.7091846,1.0
"241240:760766",+0.8321296,1.0
"686673:761432",-1.5478738,0.0
"26980:755986",-3.0625926,0.0
"745750:3088",-4.2102280,0.0
"32065:715055",-0.5490907,0.0
"1390:761432",+2.5606040,1.0
"701852:82151",+4.4953870,1.0
"8806:763371",-6.4116444,0.0
"755:755986",-3.2475815,0.0
"762:761432",-0.2031887,0.0
"3053:13875",-1.8337056,0.0
"733504:747972",-0.1537019,0.0
"733504:747974",-1.3629648,0.0
"609699:755986",-2.8548833,0.0
"606869:141540",-1.7524056,0.0
"67574:755986",+4.9504200,1.0
"6396:13875",-6.2332279,0.0
"673596:756645",-1.8154037,0.0
"246131:141540",-2.2209204,0.0
"702294:279836",+0.0899963,0.0
"750690:8806",-4.7615386,0.0
"740:71423",-4.7617704,0.0
"6396:45388",-5.0808593,0.0
"27640:752",-5.9591259,0.0
"713563:737754",-0.4115198,0.0
"296961:698037",+0.6416019,0.0
"756645:19893",-0.0372833,0.0
"77213:713563",+3.7820796,1.0
"760766:761432",+7.9808716,1.0
"750:13875",-6.4659870,0.0
"745750:141540",-0.1499006,0.0
"26271:713563",-2.2581611,0.0
"141540:747972",-1.2125389,0.0
"77213:756645",-6.9404981,0.0
"141540:747974",-2.5965148,0.0
"125066:45388",-2.8346234,0.0
"3053:755986",+5.6812833,1.0
"719627:760766",-0.7110185,0.0
"673596:71423",-1.0339234,0.0
"747599:713563",-2.2245444,0.0
"737754:756645",+3.8298569,1.0
"24559:279836",+12.7676722,1.0
"109724:760766",-4.2404222,0.0
"608210:756645",+1.2665833,1.0
"26980:169780",-7.1424889,0.0
"127716:13875",-5.8621519,0.0
"750690:45388",-5.4044200,0.0
"180973:760766",-0.0627667,0.0
"606869:752",-4.8318574,0.0
"45923:757441",-3.5978044,0.0
"628503:13875",+2.7971296,1.0
"702294:761432",+2.1301429,0.0
"13875:82151",-3.6787185,0.0
"686673:34462",+7.7271222,1.0
"102816:715055",+2.1038362,1.0
"109724:756645",-6.2039397,0.0
"122819:169780",+1.4133130,1.0
"141540:737754",-1.9682926,0.0
"122758:761432",+12.0084463,1.0
"749226:763371",-1.6813107,0.0
"609699:279836",-0.6987259,0.0
"732517:760766",-0.8028333,0.0
"26271:279836",+1.9602315,1.0
"719276:752",-2.9149537,0.0
"79037:122819",-5.4133111,0.0
"628503:3088",-1.1100094,0.0
"719345:608210",+1.2532486,1.0
"102816:169780",-0.0796907,0.0
"719276:747974",-3.2723722,0.0
"122758:755986",-3.1893407,0.0
"14229:79037",-1.7372296,0.0
"127716:608210",-0.9718500,0.0
"719276:747972",-2.2285009,0.0
"733504:756645",-2.2810130,0.0
"102816:752",-2.7571056,0.0
"686673:698037",-2.5230963,0.0
"24559:715055",+11.5738593,1.0
"681239:45388",-1.7232833,0.0
"1390:737754",-2.7579831,0.0
"79037:141540",-3.0001630,0.0
"750690:79037",-3.4310926,0.0
"719344:749226",-2.7920151,0.0
"63878:715055",-0.2709699,0.0
"26271:608210",-0.5870926,0.0
"45923:749226",-3.9361796,0.0
"712807:756645",-2.9776074,0.0
"3053:8806",-1.0348192,0.0
"369100:3088",-3.4288407,0.0
"85998:71423",-5.7493574,0.0
"613327:279836",-1.7618259,0.0
"138783:8806",-4.2905630,0.0
"241240:747972",-1.5447444,0.0
"760766:749226",+0.6633448,0.0
"3088:737754",-3.7393444,0.0
"241240:747974",-1.1082352,0.0
"8806:19893",-4.1379833,0.0
"109724:3088",-5.6784037,0.0
"613327:122819",-3.5848556,0.0
"609699:169780",-0.5220537,0.0
"127716:747974",-5.4803463,0.0
"1390:45388",-5.7130527,0.0
"34462:756645",-3.5030241,0.0
"1390:763371",-4.3222019,0.0
"92859:698037",-1.4472981,0.0
"45923:141540",-3.5367148,0.0
"25154:737754",-4.4575019,0.0
"118218:13875",-6.9133315,0.0
"745750:34462",-0.6153276,0.0
"6396:757441",-3.7982500,0.0
"67574:122819",+4.1594788,1.0
"362856:19893",-1.1879100,0.0
"756645:71423",-3.1431657,0.0
"747973:279836",-0.6821168,0.0
"246131:34462",-3.8285833,0.0
"754230:698037",-0.7297043,0.0
"82151:279836",+4.0484259,1.0
"141540:757441",-3.0036185,0.0
"246131:749226",-1.0626271,0.0
"14229:713563",+3.7574143,1.0
"3088:755986",-5.0019812,0.0
"628503:756645",-0.3580630,0.0
"141540:763371",-4.6232561,0.0
"750:698037",-2.2705690,0.0
"14229:755986",+0.3166630,0.0
"750:749226",-5.1171926,0.0
"673596:122819",-1.0685077,0.0
"92859:79037",-18.7106889,0.0
"681239:169780",-0.6282611,0.0
"67574:79037",+0.9943635,0.0
"721517:79037",-14.7898500,0.0
"719345:71423",-4.3381093,0.0
"85998:752",-2.9076833,0.0
"109724:79037",-2.1335333,0.0
"409962:45388",-5.2986008,0.0
"681239:8806",-1.3053352,0.0
"712807:761432",+7.7399220,1.0
"712807:71423",-4.7004259,0.0
"686673:737754",-4.8183630,0.0
"38721:713563",-1.3304765,0.0
"109724:34462",-2.0413333,0.0
"701852:752",-2.7479481,0.0
"409962:698037",-3.0420632,0.0
"125066:19893",-0.8995424,0.0
"67574:698037",-0.4692298,0.0
"45923:19893",-1.4071815,0.0
"92859:752",-1.9239370,0.0
"745750:757441",-4.4303926,0.0
"749226:737754",+1.6159981,1.0
"409962:279836",-9.2969134,0.0
"67574:45388",-5.7125889,0.0
"745750:713563",-1.7355632,0.0
"740:13875",-4.2194333,0.0
"180973:752",-2.2292056,0.0
"362856:8806",-1.7713161,0.0
"713563:757441",-1.4503593,0.0
"701852:755986",-1.9441537,0.0
"66847:747974",-1.2993611,0.0
"66847:747972",-5.2996778,0.0
"34462:71423",-7.5517944,0.0
"127716:715055",+0.1481296,0.0
"409962:82151",+1.1145148,1.0
"38721:761432",+9.6944770,1.0
"362856:715055",+1.2082184,1.0
"13875:747974",-8.8524185,0.0
"92859:279836",-39.5366250,0.0
"77213:279836",+9.2616389,1.0
"698037:747974",-4.1099685,0.0
"241240:45388",-3.0120722,0.0
"125066:760766",-2.8605463,0.0
"698037:747972",-2.6321676,0.0
"45388:713563",-4.9843796,0.0
"226080:747974",-4.2857648,0.0
"362856:752",-5.9548774,0.0
"712807:747974",-6.0724352,0.0
"226080:747972",+1.4863519,1.0
"246131:169780",-0.5673519,0.0
"25154:141540",-1.5667611,0.0
"49842:8806",-5.3482852,0.0
"18509:608210",-0.6399962,0.0
"613327:755986",-5.7296296,0.0
"747599:82151",+3.1960358,1.0
"18509:761432",+1.4343040,1.0
"613327:760766",-4.7007043,0.0
"715055:747974",-0.7269574,0.0
"715055:747972",-2.2014222,0.0
"246131:713563",-1.9177259,0.0
"25154:79037",+1.3336648,1.0
"125973:763371",+0.1436148,0.0
"719627:749226",-2.7746611,0.0
"105014:169780",-0.8191519,0.0
"719627:608210",+6.8827037,1.0
"747972:761432",+2.9808566,1.0
"756645:82151",-2.1216045,0.0
"71423:763371",-8.5093766,0.0
"122819:713563",-0.5372574,0.0
"740:608210",-0.4860981,0.0
"66847:79037",-0.0122259,0.0
"3088:608210",-5.1364626,0.0
"14229:8806",-3.7904426,0.0
"141540:761432",-4.3317925,0.0
"701852:8806",-0.9638852,0.0
"750:713563",-0.2329463,0.0
"732517:279836",+5.4209849,1.0
"1390:747974",-2.5028167,0.0
"1390:747972",-1.2524981,0.0
"125973:13875",-0.1023704,0.0
"754230:279836",-0.6330697,0.0
"750:757441",-5.9055852,0.0
"66847:760766",+1.2207278,1.0
"756645:763371",-3.9708500,0.0
"719276:34462",+0.6265648,0.0
"6396:749226",-3.3971500,0.0
"25154:760766",-2.0577741,0.0
"369100:169780",-1.6892037,0.0
"702294:19893",-0.3787363,0.0
"713563:749226",-1.1561556,0.0
"79037:749226",-2.4186667,0.0
"13875:608210",-1.2866426,0.0
"3088:13875",-5.2638343,0.0
"296961:45388",+4.7046167,1.0
"13875:749226",-6.6820320,0.0
"3053:713563",+6.5325907,1.0
"747973:8806",-3.6920805,0.0
"32065:8806",-4.5433000,0.0
"702294:122819",+4.6386407,1.0
"673596:8806",-0.3974655,0.0
"49842:13875",-1.3897556,0.0
"628503:737754",+5.3425694,1.0
"24559:756645",-1.3977037,0.0
"279836:608210",+2.2309266,1.0
